"Group.1","Group.2","Group.3","Group.4","x"
"../scenariosimul/scenariosimulC2D5G3STDEV0.05.csv",7,"xgboost","precision",0.588681854079258
"../scenariosimul/scenariosimulC8D3G3STDEV0.05.csv",7,"xgboost","precision",0.692354962060925
"../scenariosimul/spambase.data",7,"xgboost","precision",0.911316493699982
"../scenariosimul/cleankdd_train.csv",11,"xgboost","precision",0.952458277535611
"../scenariosimul/connect-4Train.csv",11,"xgboost","precision",0.597183252854044
"../scenariosimul/covtype.data",11,"xgboost","precision",0.654057270843078
"../scenariosimul/HIGGS.csv",11,"xgboost","precision",0.618583874703011
"../scenariosimul/scenariosimulC2D5G3STDEV0.05.csv",11,"xgboost","precision",0.588681854079258
"../scenariosimul/scenariosimulC8D3G3STDEV0.05.csv",11,"xgboost","precision",0.692354962060925
"../scenariosimul/spambase.data",11,"xgboost","precision",0.911316493699982
"../scenariosimul/cleankdd_train.csv",15,"xgboost","precision",0.952458277535611
"../scenariosimul/connect-4Train.csv",15,"xgboost","precision",0.597183252854044
"../scenariosimul/covtype.data",15,"xgboost","precision",0.654057270843078
"../scenariosimul/HIGGS.csv",15,"xgboost","precision",0.618583874703011
"../scenariosimul/scenariosimulC2D5G3STDEV0.05.csv",15,"xgboost","precision",0.588681854079258
"../scenariosimul/scenariosimulC8D3G3STDEV0.05.csv",15,"xgboost","precision",0.692354962060925
"../scenariosimul/spambase.data",15,"xgboost","precision",0.911316493699982
"../scenariosimul/cleankdd_train.csv",2,"forest","recall",0.963834299347268
"../scenariosimul/connect-4Train.csv",2,"forest","recall",0.627205166063267
"../scenariosimul/covtype.data",2,"forest","recall",0.695951813699937
"../scenariosimul/HIGGS.csv",2,"forest","recall",0.624671719125491
"../scenariosimul/scenariosimulC2D5G3STDEV0.05.csv",2,"forest","recall",0.590293697862357
"../scenariosimul/scenariosimulC8D3G3STDEV0.05.csv",2,"forest","recall",0.792291066207359
"../scenariosimul/spambase.data",2,"forest","recall",0.904161194887371
"../scenariosimul/cleankdd_train.csv",4,"forest","recall",0.963834299347268
